Code,Name,Old Location,New Location,Coming Stock,Stock
,,,COMPRESSOR_TANK_ROUND,,
MAGNIFIER_LAMP,C-01-02_Magnifying Lamp Desk Table Magnifier LightÂ New,C-01-02,,10,15
MAKEUP_7DRAWER,C-04-06_KK123_SR_Make up storage organizer,C-04-06,,10,15
MARBLE_RUN,A-03-03_KK123_A2_Marble Race Run Deluxe Toys Kids Play Set 105 PCS,A-03-03,,10,15
MARBLE_RUN_267PCS,B-02-01_KK123_SR_267pcs marble run,B-02-01,,10,15
MASSAGE_GUN_6GEAR1,C-01-05_KK123_SR_A2_Massage Gun,C-01-05,,10,15
MASSAGE_GUN_GOLD1,BG-E-03-05_Massage gun Gold,BG-E-03-05,,10,15
MEAT_SLICER,A-01-02_KK123_Frozen Meat Slicer Stainless Meat Cutter,A-01-02,,10,15
MH1_WLS_HEADPHONE_BLACK,B-02-04_KK123_KR_A2_Wireless Bluetooth Headphones,B-02-04,,10,15
MH1_WLS_HEADPHONE_ROSEGOLD,B-01-04_KK123_KR_A2_Bluetooth Headphones,B-01-04,,10,15
MH1_WLS_HEADPHONE_SILVER,B-01-04_KK123_KR_A2_Bluetooth Headphones,B-01-04,,10,15
MILK_FORTHER_BLACK,"C-02-03_ Milk frother, milk frother, coffee milk frother, frother,",C-02-03,,10,15
MILK_FORTHER_RED,"C-02-03_Milk frother, milk frother, coffee milk frother, frother",C-02-03,,10,15
MINI_HUMIDIFIER,C-01-03_Oil Diffuser Humidifier Aromatherapy Oil Humidifier,C-01-03,,10,15
MOCUTE_GAME_CONTROLLER,D-01-03_Bluetooth Controller Smart Phone Game Controller,D-01-03,,10,15
MONITOR_BRACKET_GAS,A-01-01_KK123_SR_Monitor Arm Full-Motion Height Adjustable Desk,A-01-01,,10,15
MOTORBIKE_WHITE,1S_JAN23_P-05-04_KK123_Kids Ride on Bike,1S,,10,15
NAIL_DRILL,BGI-03-04_Nail Drill Kit Manicure 20000RPM Professional pedicure electric,BGI-03-04,,10,15
NAIL_DRILL_BAT_BLACK,C-02-04_Electric Nail Drill Kit,C-02-04,,10,15
NAIL_DRILL_BAT_GREY,C-02-05_Electric Nail Drill Kit,C-02-05,,10,15
NECK_SHOULDER_BLACK,BGA-05-01_Neck and Shoulder Relaxer Black,BGA-05-01,,10,15
NECK_SHOULDER_BLUE,A-05-01_Neck and Shoulder Relaxer Blue,A-05-01,,10,15
NECK_SHOULDER_GREEN,A-05-01_Neck and Shoulder Relaxer Green,A-05-01,,10,15
NECK_SHOULDER_PINK,A-05-01_Neck and Shoulder Relaxer Pink,A-05-01,,10,15
NECK_SHOULDER_PURPLE,A-05-01_ Neck and Shoulder Relaxer purple,A-05-01,,10,15
NUT_CRACKER_TR4192,C-01-01_KK123_A2_Macadamia Nut Cracker,C-01-01,,10,15
OIL_DIFFUSER_SMALL,E-01-01_Oil Diffuser 400ml Wood Grain Cool Mist Aromatherapy,E-01-01,,10,15
ONIKUMA_K1-B,B-03-04_KK123_KR_A2_ONIKUMAK1-B Gaming Headsets for PS4,B-03-04,,10,15
ONIKUMA_K10,B-02-04_KK123_A2_ONIKUMA K10 Gaming Headset,B-02-04,,10,15
OUTDOOR_250CM,A-06-01_Outdoor Cover 250cm x 250cm x 90cm,A-06-01,,10,15
OUTDOOR_CAMERA_PTZ,D-04-03_KK123_A2_SR_Brand new 1080P Cloud Storage Wireless PTZ IP Camera,D-04-03,,10,15
PAINT_KIT,"B-01-06_KK123_SR_A2_Mini Paint Spray Gun Kit, HVLP Air Paint Sprayer G",B-01-06,,10,15
PET_DRYER_YELLOW,B-04-06_KK123_SR_High Velocity Pet Hair Dryer,B-04-06,,10,15
PH4_BATTERY,BG-01-01_DJI Phantom 4 Series Battery,BG-01-01,,10,15
PILLOW_BLACK,C-01-02_Airplane Neck Pillow for Airline Travel w/Flex Neck Memory Foa,C-01-02,,10,15
PLANT_HOLDER,D-03-03_Garden Wall Hanging Planter Wall Mount Balcony Plant Grow Bag,D-03-03,,10,15
